Population,Population_Density,Median_Age_2017,Age_of_Store,Branded TAPA,Branded Cost
64204.43,299.02,33.5,73,58606,2435
126428.11,728.67,37.2,69,201657,11501
245933.25,1043.46,36.8,52,170148,9924
81345.9,534.9,37.2,57,161301,8427
156292.42,819.23,30.2,48,60880,3000
199563.48,822.76,35.7,73,127605,3341
122730.97,539.21,38,72,286863,9342
194829.34,892.41,35.7,73,160952,8093
112330.56,877.65,33.9,67,220354,7822
219148.94,1018.86,35.2,59,72058,12225
202915.43,1153.06,38.5,57,121459,28473
75323.79,519.81,36.8,36,76369,13349
50962.08,237.59,35.7,32,136369,11615
85820.1,408.1,37,31,245539,41813
725901.9,3586.61,36.1,18,222484,32392
343542.88,2067.35,36.3,2,260126,29943
91503.62,451.01,38.8,29,228905,26350
370832.32,2172.38,35.9,27,269075,22951
357297.1,2128.68,36.4,26,104506,9547
242870.29,1547.88,36.4,12,149954,8428
155291.15,1183.24,38.5,93,457909,31521
217214.62,1466.16,35.6,71,293577,30085
180875.87,1097.59,32.2,67,235341,30728
81579.71,442.97,35.9,63,276709,29753
150715.83,1257.56,37.2,59,257083,26846
122158.03,947.23,39.4,86,95810,11548
160713.97,821.26,37.3,85,73709,10707
328818.26,1569.12,38.7,94,364152,38950
54778.5,344.2,37.1,75,196559,30343
163700.2,874.94,39.2,52,293992,28130
86572.82,573.02,40,67,265440,26250
181094.23,1242.14,38.5,48,280625,24213
81450.4,481.87,34.9,55,126651,13004
180653.64,1984.97,33.8,37,81148,10605
60240.14,546.33,29.8,21,398162,43371
41299.77,343.92,35.3,2,215208,34312
56292.11,317.19,26.7,9,272514,32742
58529.77,887.89,41.8,20,281582,31571
83584.09,714.96,40.4,60,188625,26787
442289.78,2446.7,38.6,48,119738,13300
40919.46,317.42,39.5,43,77079,12383
46147.81,250.86,38.6,36,410878,44985
103747.83,596.62,38.1,54,349691,35578
54669.52,428.06,38.7,17,330880,34483
303797.3,1872.83,41.3,13,287559,31410
258644.77,2078.82,38.8,15,250560,29378
454925.5,2629.04,40.6,13,113224,15297
64204.43,299.02,33.5,73,124495,11689
126428.11,728.67,37.2,69,392107,46677
245933.25,1043.46,36.8,52,359277,36244
81345.9,534.9,37.2,57,277875,33596
156292.42,819.23,30.2,48,292829,33038
199563.48,822.76,35.7,73,276973,27864
122730.97,539.21,38,72,131312,12012
194829.34,892.41,35.7,73,87857,10184
112330.56,877.65,33.9,67,423167,47150
219148.94,1018.86,35.2,59,356755,37393
202915.43,1153.06,38.5,57,268616,34971
75323.79,519.81,36.8,36,311077,32850
50962.08,237.59,35.7,32,315372,27376
85820.1,408.1,37,31,135964,11893
725901.9,3586.61,36.1,18,140068,11496
343542.88,2067.35,36.3,2,461827,32052
91503.62,451.01,38.8,29,309876,26554
370832.32,2172.38,35.9,27,285828,24439
357297.1,2128.68,36.4,26,280382,31178
242870.29,1547.88,36.4,12,276743,33460
155291.15,1183.24,38.5,93,202606,15028
217214.62,1466.16,35.6,71,114428,12447
180875.87,1097.59,32.2,67,478376,50566
81579.71,442.97,35.9,63,450033,39876
150715.83,1257.56,37.2,59,347790,38632
122158.03,947.23,39.4,86,318069,38242
160713.97,821.26,37.3,85,252487,33398
328818.26,1569.12,38.7,94,102635,14157
54778.5,344.2,37.1,75,169955,12704
163700.2,874.94,39.2,52,345260,54848
86572.82,573.02,40,67,497656,47977
181094.23,1242.14,38.5,48,321688,43620
81450.4,481.87,34.9,55,324330,42561
180653.64,1984.97,33.8,37,257776,36349
60240.14,546.33,29.8,21,91039,16164
41299.77,343.92,35.3,2,115693,13040
56292.11,317.19,26.7,9,447452,63018
58529.77,887.89,41.8,20,259398,48472
83584.09,714.96,40.4,60,302275,34557
442289.78,2446.7,38.6,48,250001,33933
40919.46,317.42,39.5,43,241668,28042
46147.81,250.86,38.6,36,78342,11480
103747.83,596.62,38.1,54,135630,10071
54669.52,428.06,38.7,17,478417,45778
303797.3,1872.83,41.3,13,282588,38556
258644.77,2078.82,38.8,15,299882,32313
454925.5,2629.04,40.6,13,336139,30339
64204.43,299.02,33.5,73,247211,27346
126428.11,728.67,37.2,69,80897,12403
245933.25,1043.46,36.8,52,130646,10206
81345.9,534.9,37.2,57,485763,44124
156292.42,819.23,30.2,48,271521,38772
199563.48,822.76,35.7,73,301869,34265
122730.97,539.21,38,72,209606,31375
194829.34,892.41,35.7,73,268528,25404
112330.56,877.65,33.9,67,120404,11901
219148.94,1018.86,35.2,59,96032,12000
202915.43,1153.06,38.5,57,534122,43383
75323.79,519.81,36.8,36,328853,36525
50962.08,237.59,35.7,32,355373,33513
85820.1,408.1,37,31,269744,29921
725901.9,3586.61,36.1,18,222418,24903
343542.88,2067.35,36.3,2,135891,10146
91503.62,451.01,38.8,29,118303,7492
370832.32,2172.38,35.9,27,442975,42911
357297.1,2128.68,36.4,26,386066,36608
242870.29,1547.88,36.4,12,261906,34654
155291.15,1183.24,38.5,93,306904,31822
217214.62,1466.16,35.6,71,285900,26232
180875.87,1097.59,32.2,67,94139,11837
81579.71,442.97,35.9,63,124185,12164
150715.83,1257.56,37.2,59,403290,44307
122158.03,947.23,39.4,86,369462,33914
160713.97,821.26,37.3,85,327671,32319
328818.26,1569.12,38.7,94,258902,31454
54778.5,344.2,37.1,75,250618,26708
163700.2,874.94,39.2,52,68022,12118
86572.82,573.02,40,67,60698,9998
181094.23,1242.14,38.5,48,390458,43307
81450.4,481.87,34.9,55,247203,36667
180653.64,1984.97,33.8,37,346719,32724
60240.14,546.33,29.8,21,190895,31170
41299.77,343.92,35.3,2,241864,23638
56292.11,317.19,26.7,9,79328,10359
58529.77,887.89,41.8,20,59698,8479
83584.09,714.96,40.4,60,318168,41990
442289.78,2446.7,38.6,48,347449,35426
40919.46,317.42,39.5,43,300637,33711
46147.81,250.86,38.6,36,252269,32569
103747.83,596.62,38.1,54,245256,26426
54669.52,428.06,38.7,17,52641,10322
303797.3,1872.83,41.3,13,50309,9617
258644.77,2078.82,38.8,15,364135,43495
454925.5,2629.04,40.6,13,281401,36638
64204.43,299.02,33.5,73,213444,33498
126428.11,728.67,37.2,69,293770,33505
245933.25,1043.46,36.8,52,153186,26117
81345.9,534.9,37.2,57,101879,10920
156292.42,819.23,30.2,48,42481,7900
199563.48,822.76,35.7,73,95655,12928
122730.97,539.21,38,72,388726,52956
194829.34,892.41,35.7,73,299628,41226
112330.56,877.65,33.9,67,268543,37192
219148.94,1018.86,35.2,59,203040,29785
202915.43,1153.06,38.5,57,66945,12783
75323.79,519.81,36.8,36,84159,12210
50962.08,237.59,35.7,32,304201,52722
85820.1,408.1,37,31,264180,41878
725901.9,3586.61,36.1,18,186105,38038
343542.88,2067.35,36.3,2,261417,35815
91503.62,451.01,38.8,29,212568,32194
370832.32,2172.38,35.9,27,91620,16585
357297.1,2128.68,36.4,26,77018,11729
242870.29,1547.88,36.4,12,313387,49604
155291.15,1183.24,38.5,93,301831,39885
217214.62,1466.16,35.6,71,267273,34855
180875.87,1097.59,32.2,67,190180,34544
81579.71,442.97,35.9,63,165569,23810
150715.83,1257.56,37.2,59,58420,6309
122158.03,947.23,39.4,86,31920,5171
160713.97,821.26,37.3,85,240210,28226
328818.26,1569.12,38.7,94,175187,21938
54778.5,344.2,37.1,75,122929,22772
163700.2,874.94,39.2,52,239681,29922
86572.82,573.02,40,67,132923,25671
181094.23,1242.14,38.5,48,42178,9173
81450.4,481.87,34.9,55,65986,7420
180653.64,1984.97,33.8,37,217046,40637
60240.14,546.33,29.8,21,227449,32407
41299.77,343.92,35.3,2,140373,30636
56292.11,317.19,26.7,9,91746,28061
58529.77,887.89,41.8,20,88415,23071
83584.09,714.96,40.4,60,51343,9797
442289.78,2446.7,38.6,48,46699,7683
40919.46,317.42,39.5,43,254062,38970
46147.81,250.86,38.6,36,135938,31207
103747.83,596.62,38.1,54,128527,25946
54669.52,428.06,38.7,17,10516,8124
303797.3,1872.83,41.3,13,84758,24622
258644.77,2078.82,38.8,15,38037,8708
454925.5,2629.04,40.6,13,34826,6865
454925.5,2629.04,40.6,13,170488,44076
454925.5,2629.04,40.6,13,115785,36604
454925.5,2629.04,40.6,13,76711,32519
454925.5,2629.04,40.6,13,36146,32314
454925.5,2629.04,40.6,13,41295,8412